# time,counter,data
2026-09-14 13:45:52.331712,1, 
2026-09-14 13:45:52.332364,2, , 
2026-09-14 13:45:52.333112,3, , 
2026-09-14 13:45:52.336037,4, , 
2026-09-14 13:45:52.338082,5, , 
2026-09-14 13:45:52.339093,6, 
2026-09-14 13:45:52.448041,7,11.0,1342193.0
2026-09-14 13:45:52.451011,8,14.0,1343598.0
2026-09-14 13:45:52.462065,9,25.0,1343097.0
2026-09-14 13:45:52.473100,10,37.0,1345244.0
2026-09-14 13:45:52.485038,11,48.0,1343300.0
2026-09-14 13:45:52.496033,12,60.0,1341831.0
2026-09-14 13:45:52.508012,13,71.0,1341776.0
2026-09-14 13:45:52.519059,14,82.0,1340903.0
2026-09-14 13:45:52.530992,15,94.0,1341017.0
2026-09-14 13:45:52.542040,16,105.0,1341406.0
2026-09-14 13:45:52.553089,17,117.0,1341122.0
2026-09-14 13:45:52.565031,18,128.0,1341168.0
2026-09-14 13:45:52.576018,19,140.0,1341735.0
2026-09-14 13:45:52.587994,20,151.0,1342313.0
2026-09-14 13:45:52.599030,21,162.0,1340971.0
2026-09-14 13:45:52.610987,22,174.0,1341525.0
2026-09-14 13:45:52.622008,23,185.0,1343294.0
2026-09-14 13:45:52.633113,24,197.0,1344002.0
2026-09-14 13:45:52.644947,25,208.0,1342683.0
2026-09-14 13:45:52.655992,26,220.0,1340758.0
2026-09-14 13:45:52.668011,27,231.0,1343162.0
2026-09-14 13:45:52.679110,28,242.0,1343849.0
2026-09-14 13:45:52.691023,29,254.0,1344635.0
2026-09-14 13:45:52.702020,30,265.0,1344025.0
2026-09-14 13:45:52.713048,31,277.0,1343545.0
2026-09-14 13:45:52.724990,32,288.0,1342795.0
2026-09-14 13:45:52.736068,33,299.0,1344116.0
2026-09-14 13:45:52.748045,34,311.0,1344095.0
2026-09-14 13:45:52.759051,35,322.0,1343086.0
2026-09-14 13:45:52.770087,36,334.0,1342659.0
2026-09-14 13:45:52.782042,37,345.0,1343072.0
2026-09-14 13:45:52.793041,38,357.0,1345128.0
