"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
0.000000000E0	-1.788929901E0	1.924996948E-1	9.426796875E0	9.596969607E0
9.963999968E-3	-1.953737183E0	3.215313721E-1	9.738598480E0	9.937845429E0
1.992699993E-2	-1.790426788E0	1.886077881E-1	9.438921661E0	9.609081283E0
2.989100001E-2	-1.911524963E0	3.067121887E-1	9.693542175E0	9.884976477E0
3.985399997E-2	-1.962119751E0	1.800755310E-1	9.481133881E0	9.683710073E0
4.981799994E-2	-1.861828308E0	2.917433167E-1	9.665849762E0	9.847851057E0
5.978099990E-2	-1.963167572E0	1.889071655E-1	9.514963531E0	9.717213790E0
6.974499999E-2	-1.772464142E0	2.424957275E-1	9.619745636E0	9.784678810E0
7.970899995E-2	-2.030377808E0	2.249821472E-1	9.599238281E0	9.814195157E0
8.967199991E-2	-1.764680328E0	2.338137817E-1	9.525292053E0	9.690198875E0
9.963600000E-2	-2.081571350E0	2.794688416E-1	9.642049255E0	9.868138424E0
1.095990000E-1	-1.685494995E0	2.098635864E-1	9.464219055E0	9.615423986E0
1.195629999E-1	-2.097737732E0	2.842588806E-1	9.771679688E0	9.998351395E0
1.295260000E-1	-1.743274841E0	1.537303162E-1	9.388027496E0	9.549748712E0
1.394900000E-1	-2.000889130E0	3.041674805E-1	9.697284393E0	9.906230351E0
1.494539999E-1	-1.796114960E0	1.715432739E-1	9.418563995E0	9.589828141E0
1.594169999E-1	-1.895807648E0	3.046165466E-1	9.683962097E0	9.872487011E0
1.693810000E-1	-1.944007416E0	1.609153748E-1	9.499844971E0	9.698046868E0
1.793439999E-1	-1.907932434E0	3.028202820E-1	9.688752136E0	9.879464776E0
1.893079999E-1	-1.899998932E0	1.791773987E-1	9.599537659E0	9.787401276E0
1.992710000E-1	-1.810784454E0	2.610571289E-1	9.597442017E0	9.770260203E0
2.092350000E-1	-1.988315277E0	2.183958435E-1	9.635912018E0	9.841336027E0
2.191989999E-1	-1.837728424E0	2.257305908E-1	9.557175751E0	9.734875880E0
2.291620000E-1	-2.046993256E0	2.378553772E-1	9.643546143E0	9.861274703E0
2.391260000E-1	-1.752555542E0	1.956431580E-1	9.474397888E0	9.637112769E0
2.490889999E-1	-1.980082397E0	2.603086853E-1	9.731712799E0	9.934521675E0
2.590529999E-1	-1.762884064E0	1.992356873E-1	9.473200378E0	9.637892949E0
2.690160000E-1	-1.963167572E0	2.950364685E-1	9.695039063E0	9.896204114E0
2.789799999E-1	-1.834884338E0	1.648072815E-1	9.460476837E0	9.638183644E0
2.889439999E-1	-1.932631073E0	3.002755737E-1	9.697583771E0	9.892843842E0
2.989070000E-1	-1.877545624E0	1.628613281E-1	9.472302246E0	9.657961028E0
3.088710000E-1	-1.923949127E0	2.731819153E-1	9.665700073E0	9.859105766E0
3.188339999E-1	-1.914219360E0	1.911524963E-1	9.526938629E0	9.719225004E0
3.287980000E-1	-1.829196167E0	2.571652222E-1	9.712253265E0	9.886352010E0
3.387610000E-1	-1.985471191E0	1.966909790E-1	9.562714233E0	9.768637914E0
3.487249999E-1	-1.766476593E0	2.609074402E-1	9.662257233E0	9.825870296E0
3.586889999E-1	-2.041305084E0	2.197430420E-1	9.640103302E0	9.856307885E0
3.686520000E-1	-1.700613556E0	2.083666992E-1	9.476194153E0	9.629836903E0
3.786159999E-1	-2.054926758E0	2.444416809E-1	9.663155365E0	9.882259222E0
3.885789999E-1	-1.766476593E0	1.920506287E-1	9.463470612E0	9.628842039E0
3.985430000E-1	-2.004930725E0	2.962339783E-1	9.704020386E0	9.913400700E0
4.085057916E-1	-1.725761261E0	1.459465027E-1	9.477840729E0	9.634781637E0
4.184697916E-1	-1.992955627E0	3.014730835E-1	9.778565369E0	9.984142368E0
4.284337916E-1	-1.748214569E0	1.531315613E-1	9.553583221E0	9.713426575E0
