"Time (s)","Pressure (hPa)"
0.000000000E0,1.017164688E3
1.002297000E0,1.017161560E3
2.004637000E0,1.017158356E3
3.006817000E0,1.017144470E3
4.009109000E0,1.017144470E3
5.011531000E0,1.017159348E3
5.560882000E0,1.017160797E3
6.562928000E0,1.017167892E3
7.565131000E0,1.017186279E3
8.567302000E0,1.017201309E3
9.569816000E0,1.017218170E3
1.057215000E1,1.017229233E3
1.157442700E1,1.017238922E3
1.257659200E1,1.017242737E3
1.357887200E1,1.017243118E3
1.458115800E1,1.017244568E3
1.558358000E1,1.017244568E3
1.658576000E1,1.017244568E3
1.758816600E1,1.017246704E3
1.859055100E1,1.017248306E3
1.959275700E1,1.017248306E3
2.059503400E1,1.017247314E3
2.159753500E1,1.017244644E3
2.259982000E1,1.017241669E3
2.360205100E1,1.017235184E3
2.460419000E1,1.017224426E3
2.560639500E1,1.017212524E3
2.660874700E1,1.017203827E3
2.761126600E1,1.017193985E3
2.861352700E1,1.017186203E3
2.961588100E1,1.017186203E3
3.061835800E1,1.017185211E3
3.162048300E1,1.017185211E3
3.262269800E1,1.017178802E3
3.362499800E1,1.017165070E3
3.462744500E1,1.017143936E3
3.563015600E1,1.017115555E3
3.663212700E1,1.017077866E3
3.763450600E1,1.017043610E3
3.863683900E1,1.017012177E3
3.963918100E1,1.016983566E3
4.064165000E1,1.016954422E3
4.164405800E1,1.016924362E3
4.264631400E1,1.016893005E3
4.364860700E1,1.016858673E3
4.465144100E1,1.016828995E3
4.565334300E1,1.016799011E3
4.665558300E1,1.016769562E3
4.765794400E1,1.016739273E3
4.866032300E1,1.016708145E3
4.966304900E1,1.016669235E3
5.066540600E1,1.016632843E3
5.166769600E1,1.016600113E3
5.266998800E1,1.016567001E3
5.367277200E1,1.016537399E3
5.467470900E1,1.016506653E3
5.567707300E1,1.016470413E3
5.667937200E1,1.016437912E3
5.768176100E1,1.016412048E3
5.868411100E1,1.016384811E3
5.968635100E1,1.016359100E3
6.068871300E1,1.016331406E3
6.169101000E1,1.016298447E3
6.269324600E1,1.016252518E3
6.369552600E1,1.016211014E3
6.469788700E1,1.016169891E3
6.570025900E1,1.016128922E3
6.670248600E1,1.016089096E3
6.770470900E1,1.016052246E3
6.870709000E1,1.016012802E3
6.970949900E1,1.015976944E3
7.071182300E1,1.015946960E3
7.171422400E1,1.015928879E3
7.271685000E1,1.015917282E3
7.371903900E1,1.015913773E3
7.472139000E1,1.015913773E3
7.572374800E1,1.015916977E3
7.672622100E1,1.015920181E3
7.772874500E1,1.015925140E3
7.873084200E1,1.015929718E3
7.973314300E1,1.015936508E3
8.073546200E1,1.015943527E3
8.173777700E1,1.015947113E3
8.273983500E1,1.015951157E3
8.374217300E1,1.015952988E3
8.474447100E1,1.015954208E3
8.574683800E1,1.015955963E3
8.674917800E1,1.015956039E3
8.775166000E1,1.015956039E3
8.875404500E1,1.015956039E3
8.975649600E1,1.015951996E3
9.075930300E1,1.015946655E3
9.176098000E1,1.015942535E3
9.276322600E1,1.015939636E3
9.376552000E1,1.015939636E3
9.476790800E1,1.015948563E3
9.577013000E1,1.015964050E3
9.677238200E1,1.015979843E3
9.777489500E1,1.015992126E3
9.877713300E1,1.016004562E3
9.977937600E1,1.016004562E3
1.007814880E2,1.015996094E3
1.017838280E2,1.015988922E3
1.027860740E2,1.015984192E3
1.037884860E2,1.015979156E3
1.047907630E2,1.015975952E3
1.057929330E2,1.015975189E3
1.067953140E2,1.015974274E3
1.077991780E2,1.015974274E3
