"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
0.000000000E0,1.124509610E-2,-1.227181591E-2,-4.121487588E-2,4.444902300E-2
9.961000062E-3,1.034521312E-2,-2.381475456E-2,-3.734450042E-2,4.548381779E-2
1.992300001E-2,8.529972285E-3,-3.619041666E-2,-3.281180561E-2,4.958952785E-2
2.988499997E-2,6.762965117E-3,-5.380616337E-2,-2.223799378E-2,5.861202335E-2
3.984600003E-2,6.653680000E-3,-6.755475700E-2,-7.885948755E-3,6.833816531E-2
4.980799998E-2,9.922177531E-3,-7.431972027E-2,1.180945896E-2,7.590345018E-2
5.976900004E-2,5.426138639E-3,-7.461881638E-2,2.251723222E-2,7.813089328E-2
6.973100000E-2,-5.909074098E-3,-6.762881577E-2,2.417664789E-2,7.206305699E-2
7.969300007E-2,-1.842458732E-2,-5.377332866E-2,1.601778902E-2,5.905595532E-2
8.965400001E-2,-2.736668289E-2,-2.588444203E-2,3.866311163E-4,3.767079977E-2
9.961599996E-2,-2.738405578E-2,2.964200918E-3,-1.286446303E-2,3.040012183E-2
1.095770000E-1,-1.479689125E-2,3.196522593E-2,-2.151547559E-2,4.127516626E-2
1.195390000E-1,-2.285626717E-3,4.540939257E-2,-3.021602333E-2,5.459162104E-2
1.295010000E-1,1.138943899E-2,5.431633443E-2,-3.491437063E-2,6.556673533E-2
1.394620000E-1,2.363278903E-2,4.493135586E-2,-3.960872442E-2,6.439088838E-2
1.494240001E-1,2.758004889E-2,2.908477560E-2,-4.225270823E-2,5.823980272E-2
1.593850000E-1,2.748387307E-2,6.134960800E-3,-3.675674275E-2,4.630398644E-2
1.693470000E-1,1.892447472E-2,-2.008918673E-2,-3.146823868E-2,4.185643573E-2
1.793090000E-1,8.612106554E-3,-4.241029918E-2,-2.488490567E-2,4.992054072E-2
1.892700000E-1,-6.557791494E-3,-6.218320876E-2,-2.344200574E-2,6.677786845E-2
1.992320000E-1,-2.559185401E-2,-6.438542157E-2,-2.426971123E-2,7.341283529E-2
2.091930000E-1,-3.746475652E-2,-5.893553048E-2,-3.048526496E-2,7.619944956E-2
2.191550001E-1,-3.193364665E-2,-5.018849671E-2,-3.671519458E-2,6.990456711E-2
2.291160000E-1,-2.810535207E-2,-3.975716233E-2,-4.268573970E-2,6.475040653E-2
2.390780000E-1,-1.210365258E-2,-2.654907107E-2,-4.215630144E-2,5.126895095E-2
2.490400000E-1,3.326969221E-3,-1.801550388E-2,-4.309640080E-2,4.682869704E-2
2.590010000E-1,1.208293252E-2,-1.395827532E-2,-3.875411302E-2,4.292682127E-2
2.689630000E-1,1.528751384E-2,-1.605072059E-2,-3.004264645E-2,3.733489409E-2
2.789240000E-1,1.178088412E-2,-1.424003765E-2,-2.355971560E-2,2.994374896E-2
