"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,2.104288203E-2,7.051125378E-3,-3.303209066E-2,3.979497791E-2
9.964000084E-3,1.318594638E-2,1.297269660E-2,-5.683376670E-2,5.976819452E-2
1.992700004E-2,2.111129902E-2,5.915111876E-3,-3.602820396E-2,4.217471963E-2
2.989100001E-2,2.346589511E-2,-2.639332647E-4,-3.243684411E-2,4.003581834E-2
3.985399997E-2,2.166632770E-2,9.321759101E-3,-4.486100793E-2,5.068367569E-2
4.981800006E-2,1.660006708E-2,6.082036179E-3,-3.767477989E-2,4.161661244E-2
5.978200003E-2,7.959330445E-3,8.060889272E-3,-3.842322350E-2,4.005836967E-2
6.974499999E-2,1.949463069E-2,7.872526702E-3,-4.545917809E-2,5.008546870E-2
7.970900007E-2,2.052477761E-2,8.103500856E-3,-3.138843834E-2,3.836883219E-2
8.967200003E-2,2.426602718E-2,-5.136226206E-3,-4.680579185E-2,5.297171930E-2
9.963600000E-2,1.489770963E-2,1.027295948E-2,-4.201516807E-2,4.574658235E-2
1.096000001E-1,1.671832245E-2,1.924163811E-2,-4.366291344E-2,5.055880688E-2
1.195630000E-1,1.928903711E-2,8.839765806E-3,-5.428964317E-2,5.828871046E-2
1.295270000E-1,1.631445344E-2,1.038821815E-3,-3.153812706E-2,3.552314739E-2
1.394910000E-1,1.609545237E-2,1.115588904E-2,-4.815415978E-2,5.198404132E-2
1.494540001E-1,2.044392615E-2,1.054314652E-2,-5.024863243E-2,5.526334333E-2
1.594180000E-1,1.679379721E-2,1.148921231E-2,-3.602878869E-2,4.137761760E-2
1.693810000E-1,1.404269595E-2,6.101839053E-3,-4.381318688E-2,4.641147589E-2
1.793450001E-1,1.647179379E-2,7.899332531E-3,-4.066855431E-2,4.458307699E-2
1.893090000E-1,1.716014811E-2,1.042028647E-2,-2.390283287E-2,3.121535635E-2
1.992720000E-1,1.962589611E-2,8.497571214E-3,-5.219224691E-2,5.640403490E-2
2.092360001E-1,6.495073442E-3,2.911063721E-3,-3.348057210E-2,3.422877414E-2
2.192000001E-1,1.975902077E-2,5.925312527E-3,-3.752275229E-2,4.281921495E-2
2.291630000E-1,1.433166261E-2,4.742055349E-3,-4.725368857E-2,4.960639803E-2
2.391270000E-1,1.306908430E-2,1.256867684E-2,-2.719656944E-2,3.268678619E-2
2.490900001E-1,5.609042114E-3,8.631947539E-3,-4.276595056E-2,4.398748003E-2
2.590540000E-1,8.633528114E-3,1.004593676E-2,-4.291563928E-2,4.491336937E-2
2.690180000E-1,1.555209072E-2,7.053080541E-3,-3.094054163E-2,3.534021204E-2
2.789810001E-1,1.242142294E-2,-9.977542609E-4,-4.381494105E-2,4.555256656E-2
2.889450000E-1,1.413043616E-2,9.826273313E-3,-4.171988368E-2,4.513062782E-2
2.989090000E-1,1.419041581E-2,8.808464929E-3,-3.408575892E-2,3.795781760E-2
3.088720001E-1,1.857937699E-2,1.015325144E-2,-3.558206141E-2,4.140488930E-2
3.188360000E-1,1.324138986E-2,1.374642484E-2,-4.007272303E-2,4.438605336E-2
3.287990000E-1,1.165551991E-2,7.063966412E-3,-3.543120325E-2,3.796209859E-2
3.387630000E-1,7.606501230E-3,9.849799220E-3,-3.782563806E-2,3.982030010E-2
3.487270001E-1,1.488459907E-2,9.593453631E-4,-3.872377038E-2,4.149701225E-2
3.586900000E-1,1.358869620E-2,1.079053856E-2,-4.680696130E-2,4.991973570E-2
3.686540000E-1,1.362822886E-2,3.532019751E-3,-3.947279871E-2,4.190830017E-2
3.786180001E-1,8.838943541E-3,9.787996891E-3,-3.528209925E-2,3.766640855E-2
3.885810000E-1,6.219993923E-3,3.672279837E-3,-3.992186487E-2,4.057005371E-2
3.985450000E-1,1.136514170E-2,1.145288191E-2,-4.516038537E-2,4.795618163E-2
4.085080001E-1,2.050447681E-2,1.163878683E-2,-4.755598962E-2,5.307981798E-2
4.184720000E-1,1.561118414E-2,4.247010886E-3,-3.707836390E-2,4.045431054E-2
4.284360000E-1,1.530895161E-2,1.761130648E-2,-3.962190270E-2,4.598279341E-2
4.383990000E-1,2.130974347E-2,5.378049687E-3,-5.159524620E-2,5.608117345E-2
4.483630001E-1,1.744425884E-2,1.926783181E-2,-2.120902061E-2,3.354659543E-2
4.583270000E-1,1.329697496E-2,1.239281726E-2,-3.946987510E-2,4.345414253E-2
4.682900000E-1,1.765694674E-2,-9.870374110E-5,-7.015547812E-2,7.234340758E-2
4.782540001E-1,1.115805434E-2,1.463018581E-2,-1.761473715E-2,2.547201363E-2
4.882170000E-1,8.941151043E-3,7.448260956E-3,-3.438045859E-2,3.629651094E-2
4.981810000E-1,1.457461442E-2,1.644496968E-2,-1.761707604E-2,2.816412224E-2
5.081450000E-1,1.606781514E-2,1.186007653E-2,-7.737035751E-3,2.141723187E-2
5.181080000E-1,1.685966975E-2,3.969528526E-3,-8.587454796E-2,8.760390178E-2
5.280720000E-1,5.445744912E-3,1.586066839E-2,-1.971271813E-2,2.588065292E-2
5.380360000E-1,1.759719551E-3,4.814588232E-4,-4.594157338E-3,4.943146482E-3
5.479990001E-1,1.288825002E-2,2.102695294E-3,-1.078787899E-1,1.086662856E-1
5.579627501E-1,1.252099919E-2,9.666228625E-3,-1.342520714E-2,2.074723074E-2
5.679257500E-1,1.352737810E-2,1.329263523E-2,-1.971096396E-2,2.735335829E-2
5.778897500E-1,1.564781603E-2,1.492731573E-2,-8.841633260E-2,9.102267175E-2
5.878537500E-1,1.578072142E-2,-3.341501020E-4,1.636518717E-2,2.273680223E-2
5.978167501E-1,1.893748697E-2,-6.122135287E-3,-5.054450154E-2,5.432177822E-2
6.077807500E-1,2.561762935E-2,1.745667960E-3,-6.012457967E-2,6.537794254E-2
6.177447500E-1,1.284557905E-2,-6.345284223E-3,-9.940266609E-5,1.432764509E-2
